MPN,path(en),Item INT ID,Item Name
459524,https://data.icecat.biz/export/level4/EN/69337596.xml,588590,IRI-4321-588590
41020274,https://data.icecat.biz/export/level4/EN/19591766.xml,588536,HUA-4320-588536
1000515,https://data.icecat.biz/export/level4/EN/87530378.xml,588290,EPO-4319-586124
3DX-700083,https://data.icecat.biz/export/level4/EN/85936600.xml,587990,3D -4321-587990
34620,https://data.icecat.biz/export/level4/EN/2139745.xml,587922,LEN-4320-587922
0B35051,https://data.icecat.biz/export/level4/EN/38329540.xml,586768,WES-4320-586768
102511,https://data.icecat.biz/export/level4/EN/35490785.xml,586631,TDM-3116-586631
16456574,https://data.icecat.biz/export/level4/EN/30898499.xml,586577,FUJ-4320-586577
84681,https://data.icecat.biz/export/level4/EN/18270265.xml,592673,LEG-2612-592673
84677,https://data.icecat.biz/export/level4/EN/85679850.xml,592669,LEG-2612-592669
83130,https://data.icecat.biz/export/level4/EN/712858.xml,592155,LEG-2612-592155
83105,https://data.icecat.biz/export/level4/EN/77357056.xml,592143,LEG-2612-592143
83104,https://data.icecat.biz/export/level4/EN/39846.xml,592142,LEG-2612-592142
83005,https://data.icecat.biz/export/level4/EN/67900744.xml,592346,LEG-2612-592346
82450,https://data.icecat.biz/export/level4/EN/5087954.xml,592216,LEG-2612-592216
82445,https://data.icecat.biz/export/level4/EN/20644276.xml,592211,LEG-2612-592211
82433,https://data.icecat.biz/export/level4/EN/5221040.xml,592198,LEG-2612-592198
82365,https://data.icecat.biz/export/level4/EN/33465219.xml,592097,LEG-2612-592097
82362,https://data.icecat.biz/export/level4/EN/3920487.xml,592095,LEG-2612-592095
81931,https://data.icecat.biz/export/level4/EN/6003356.xml,591837,LEG-2612-591837
81713,https://data.icecat.biz/export/level4/EN/23149690.xml,592006,LEG-2612-592006
88657,https://data.icecat.biz/export/level4/EN/15047332.xml,593826,LEG-2612-593826
83750,https://data.icecat.biz/export/level4/EN/5109913.xml,592691,LEG-2612-592691
83404,https://data.icecat.biz/export/level4/EN/77121206.xml,592531,LEG-2612-592531
83262,https://data.icecat.biz/export/level4/EN/21747686.xml,592410,LEG-2612-592410
83207,https://data.icecat.biz/export/level4/EN/4233554.xml,592390,LEG-2612-592390
83169,https://data.icecat.biz/export/level4/EN/21004800.xml,592172,LEG-2612-592172
80159,https://data.icecat.biz/export/level4/EN/65198792.xml,591455,LEG-2612-591455
80116,https://data.icecat.biz/export/level4/EN/21747983.xml,591522,LEG-2612-591522
81551,https://data.icecat.biz/export/level4/EN/37840427.xml,591561,LEG-2612-591561
81128,https://data.icecat.biz/export/level4/EN/5389162.xml,591825,LEG-2612-591825
80711,https://data.icecat.biz/export/level4/EN/5877262.xml,591641,LEG-2612-591641
80703,https://data.icecat.biz/export/level4/EN/54025603.xml,591633,LEG-2612-591633
80702,https://data.icecat.biz/export/level4/EN/706817.xml,591632,LEG-2612-591632
80647,https://data.icecat.biz/export/level4/EN/87035071.xml,591780,TAL-4320-591780
80564,https://data.icecat.biz/export/level4/EN/8885338.xml,591751,LEG-2612-591751
80394,https://data.icecat.biz/export/level4/EN/35475581.xml,591698,LEG-2612-591698
80377,https://data.icecat.biz/export/level4/EN/2971374.xml,591625,LEG-2612-591625
80285,https://data.icecat.biz/export/level4/EN/27266096.xml,591485,LEG-2612-591485
80284,https://data.icecat.biz/export/level4/EN/998827.xml,591484,LEG-2612-591484
80276,https://data.icecat.biz/export/level4/EN/75649195.xml,591479,LEG-2612-591479
80213,https://data.icecat.biz/export/level4/EN/335771.xml,591460,LEG-2612-591460
7160-0819-04,https://data.icecat.biz/export/level4/EN/36312695.xml,581474,GAM-4320-581474
492-BBIP-NC,https://data.icecat.biz/export/level4/EN/54793030.xml,577571,ORI-2611-577571
4877-48842-716,https://data.icecat.biz/export/level4/EN/75690974.xml,577533,POL-4319-577533
4850DR153CE,https://data.icecat.biz/export/level4/EN/65038767.xml,577495,HON-4321-577495
48345,https://data.icecat.biz/export/level4/EN/38574283.xml,577487,LIN-2612-577487
48114,https://data.icecat.biz/export/level4/EN/33014871.xml,577476,KAT-4410-577476
48036,https://data.icecat.biz/export/level4/EN/35780967.xml,577467,MOB-4411-577467
474047,https://data.icecat.biz/export/level4/EN/57965282.xml,577442,MAN-2612-577442
471268,https://data.icecat.biz/export/level4/EN/4198932.xml,577404,MAN-2612-577404
